program    1    tk_program
funcoes    1    tk_trem
;    1    tk_pontoevirgula
const    2    tk_const
TAM    2    tk_trem
=    2    tk_compara
10    2    tk_numero
;    2    tk_pontoevirgula
type    3    tk_type
vetor    4    tk_trem
=    4    tk_compara
array    4    tk_array
[    4    tk_abrecolchete
15    4    tk_numero
]    4    tk_fechacolchete
of    4    tk_of
integer    4    tk_integer
;    4    tk_pontoevirgula
aluno    5    tk_trem
=    5    tk_compara
record    5    tk_record
nota1    6    tk_trem
,    6    tk_virgula
nota2    6    tk_trem
:    6    tk_doispontos
real    6    tk_real
;    6    tk_pontoevirgula
end    7    tk_end
;    7    tk_pontoevirgula
var    8    tk_var
A    9    tk_trem
,    9    tk_virgula
B    9    tk_trem
,    9    tk_virgula
C    9    tk_trem
,    9    tk_virgula
D    9    tk_trem
:    9    tk_doispontos
integer    9    tk_integer
;    9    tk_pontoevirgula
E    10    tk_trem
:    10    tk_doispontos
vetor    10    tk_trem
;    10    tk_pontoevirgula
F    11    tk_trem
:    11    tk_doispontos
aluno    11    tk_trem
;    11    tk_pontoevirgula
function    13    tk_function
fatorial    13    tk_trem
(    13    tk_abreparenteses
a    13    tk_trem
:    13    tk_doispontos
nteger    13    tk_trem
)    13    tk_fechaparenteses
:    13    tk_doispontos
integer    13    tk_integer
var    14    tk_var
i    14    tk_trem
:    14    tk_doispontos
integer    14    tk_integer
;    14    tk_pontoevirgula
begin    15    tk_begin
i    16    tk_trem
:=    16    tk_atribui
1    16    tk_numero
;    16    tk_pontoevirgula
result    17    tk_trem
:=    17    tk_atribui
1    17    tk_numero
;    17    tk_pontoevirgula
while    18    tk_while
i    18    tk_trem
<    18    tk_menor
a    18    tk_trem
begin    19    tk_begin
result    20    tk_trem
:=    20    tk_atribui
result    20    tk_trem
*    20    tk_multiplicacao
i    20    tk_trem
;    20    tk_pontoevirgula
i    21    tk_trem
:=    21    tk_atribui
i    21    tk_trem
+    21    tk_soma
1    21    tk_numero
;    21    tk_pontoevirgula
end    22    tk_end
;    22    tk_pontoevirgula
end    23    tk_end
function    25    tk_function
exp    25    tk_trem
(    25    tk_abreparenteses
a    25    tk_trem
:    25    tk_doispontos
real    25    tk_real
;    25    tk_pontoevirgula
b    25    tk_trem
:    25    tk_doispontos
real    25    tk_real
)    25    tk_fechaparenteses
:    25    tk_doispontos
real    25    tk_real
var    26    tk_var
i    26    tk_trem
:    26    tk_doispontos
integer    26    tk_integer
;    26    tk_pontoevirgula
begin    27    tk_begin
i    28    tk_trem
:=    28    tk_atribui
1    28    tk_numero
;    28    tk_pontoevirgula
result    29    tk_trem
:=    29    tk_atribui
a    29    tk_trem
;    29    tk_pontoevirgula
if    30    tk_if
b    30    tk_trem
=    30    tk_compara
0    30    tk_numero
then    30    tk_then
result    31    tk_trem
:=    31    tk_atribui
1    31    tk_numero
else    32    tk_else
while    33    tk_while
i    33    tk_trem
<    33    tk_menor
b    33    tk_trem
begin    34    tk_begin
result    35    tk_trem
:=    35    tk_atribui
a    35    tk_trem
*    35    tk_multiplicacao
a    35    tk_trem
;    35    tk_pontoevirgula
i    36    tk_trem
:=    36    tk_atribui
i    36    tk_trem
+    36    tk_soma
1    36    tk_numero
;    36    tk_pontoevirgula
end    37    tk_end
;    37    tk_pontoevirgula
end    38    tk_end
function    40    tk_function
lerDados    40    tk_trem
(    40    tk_abreparenteses
)    40    tk_fechaparenteses
:    40    tk_doispontos
aluno    40    tk_trem
begin    41    tk_begin
write    42    tk_write
"    42    tk_aspas
digite    42    tk_trem
as    42    tk_trem
notas    42    tk_trem
do    42    tk_trem
aluno    42    tk_trem
"    42    tk_aspas
;    42    tk_pontoevirgula
read    43    tk_read
result    43    tk_trem
.    43    tk_ponto
nota1    43    tk_trem
;    43    tk_pontoevirgula
read    44    tk_read
result    44    tk_trem
.    44    tk_ponto
nota2    44    tk_trem
;    44    tk_pontoevirgula
end    45    tk_end
function    47    tk_function
maior    47    tk_trem
(    47    tk_abreparenteses
a    47    tk_trem
:    47    tk_doispontos
vetor    47    tk_trem
)    47    tk_fechaparenteses
:    47    tk_doispontos
integer    47    tk_integer
var    48    tk_var
i    48    tk_trem
:    48    tk_doispontos
integer    48    tk_integer
;    48    tk_pontoevirgula
begin    49    tk_begin
i    50    tk_trem
:=    50    tk_atribui
0    50    tk_numero
;    50    tk_pontoevirgula
result    51    tk_trem
:=    51    tk_atribui
a    51    tk_trem
[    51    tk_abrecolchete
0    51    tk_numero
]    51    tk_fechacolchete
;    51    tk_pontoevirgula
while    52    tk_while
i    52    tk_trem
<    52    tk_menor
15    52    tk_numero
begin    53    tk_begin
if    54    tk_if
a    54    tk_trem
[    54    tk_abrecolchete
i    54    tk_trem
]    54    tk_fechacolchete
>    54    tk_maior
result    54    tk_trem
then    54    tk_then
result    55    tk_trem
:=    55    tk_atribui
a    55    tk_trem
[    55    tk_abrecolchete
i    55    tk_trem
]    55    tk_fechacolchete
;    55    tk_pontoevirgula
end    56    tk_end
;    56    tk_pontoevirgula
end    57    tk_end
procidure    59    tk_trem
principal    59    tk_trem
(    59    tk_abreparenteses
)    59    tk_fechaparenteses
begin    60    tk_begin
A    61    tk_trem
:=    61    tk_atribui
TAM    61    tk_trem
;    61    tk_pontoevirgula
B    62    tk_trem
:=    62    tk_atribui
fatorial    62    tk_trem
(    62    tk_abreparenteses
A    62    tk_trem
)    62    tk_fechaparenteses
;    62    tk_pontoevirgula
C    63    tk_trem
:=    63    tk_atribui
exp    63    tk_trem
(    63    tk_abreparenteses
A    63    tk_trem
,    63    tk_virgula
B    63    tk_trem
)    63    tk_fechaparenteses
;    63    tk_pontoevirgula
D    64    tk_trem
:=    64    tk_atribui
maior    64    tk_trem
(    64    tk_abreparenteses
E    64    tk_trem
)    64    tk_fechaparenteses
;    64    tk_pontoevirgula
F    65    tk_trem
:=    65    tk_atribui
lerDados    65    tk_trem
(    65    tk_abreparenteses
)    65    tk_fechaparenteses
;    65    tk_pontoevirgula
